,Report_Date,Cases,Deaths,Recovered,Country,Incremental_Cases,CaseRate,Incremental_Deaths,DeathRate,RollingCases_last7,RollingDeaths_last7
10,2020-03-23,19856,860,860,France,3838.0,0.2396054438756399,186.0,0.27596439169139464,1889.0,101.71428571428571
11,2020-03-24,22304,1100,1100,France,2448.0,0.1232876712328767,240.0,0.27906976744186046,2093.1428571428573,136.0
12,2020-03-25,25233,1331,1331,France,2929.0,0.13132173601147776,231.0,0.21,2312.8571428571427,169.0
13,2020-03-26,29155,1696,1696,France,3922.0,0.1554313795426624,365.0,0.2742299023290759,2612.0,207.57142857142858
14,2020-03-27,32964,1995,1995,France,3809.0,0.13064654433201853,299.0,0.17629716981132076,2907.4285714285716,220.71428571428572
15,2020-03-28,37575,2314,2314,France,4611.0,0.13987986894794321,319.0,0.1598997493734336,3327.5714285714284,250.28571428571428
16,2020-03-29,40174,2606,2606,France,2599.0,0.06916833000665336,292.0,0.12618841832324978,3450.8571428571427,276.0
17,2020-03-30,44550,3024,3024,France,4376.0,0.10892617115547369,418.0,0.16039907904834996,3527.714285714286,309.14285714285717
18,2020-03-31,52128,3523,3523,France,7578.0,0.1701010101010101,499.0,0.1650132275132275,4260.571428571428,346.14285714285717
19,2020-04-01,56989,4032,4032,France,4861.0,0.0932512277470841,509.0,0.1444791370990633,4536.571428571428,385.85714285714283
22,2020-04-02,59105,5387,5387,France,2116.0,0.03712997245082384,1355.0,0.33606150793650796,4278.571428571428,527.2857142857143
23,2020-04-03,64338,6507,6507,France,5233.0,0.0885373487860587,1120.0,0.20790792648969741,4482.0,644.5714285714286
24,2020-04-04,89953,7560,7560,France,25615.0,0.3981317417389412,1053.0,0.16182572614107885,7482.571428571428,749.4285714285714
25,2020-04-05,92839,8078,8078,France,2886.0,0.03208342134225651,518.0,0.06851851851851852,7523.571428571428,781.7142857142857
26,2020-04-06,98010,8911,8911,France,5171.0,0.05569857495233684,833.0,0.10311958405545928,7637.142857142857,841.0
27,2020-04-07,109069,10328,10328,France,11059.0,0.11283542495663708,1417.0,0.15901694534844574,8134.428571428572,972.1428571428571
28,2020-04-08,112950,10869,10869,France,3881.0,0.03558297958173266,541.0,0.05238187451587916,7994.428571428572,976.7142857142857
29,2020-04-09,117749,12210,12210,France,4799.0,0.042487826471890214,1341.0,0.12337841567761523,8377.714285714286,974.7142857142857
20,2020-04-10,124869,13197,13197,France,7120.0,0.060467604820423106,987.0,0.08083538083538083,8647.285714285714,955.7142857142857
0,2020-03-13,2179,47,12,USA,,,,,,
1,2020-03-14,2727,54,12,USA,548.0,0.25149150986691143,7.0,0.14893617021276595,,
2,2020-03-15,3499,63,12,USA,772.0,0.2830949761642831,9.0,0.16666666666666666,,
3,2020-03-16,4632,85,17,USA,1133.0,0.3238068019434124,22.0,0.3492063492063492,,
4,2020-03-17,6421,108,17,USA,1789.0,0.38622625215889467,23.0,0.27058823529411763,,
5,2020-03-18,7783,118,105,USA,1362.0,0.21211649275813735,10.0,0.09259259259259259,,
6,2020-03-19,13747,200,121,USA,5964.0,0.7662854940254401,82.0,0.6949152542372882,,
7,2020-03-20,19273,244,147,USA,5526.0,0.40197861351567615,44.0,0.22,2442.0,28.142857142857142
8,2020-03-21,25600,307,176,USA,6327.0,0.32828309033362735,63.0,0.2581967213114754,3267.5714285714284,36.142857142857146
9,2020-03-22,33276,417,178,USA,7676.0,0.29984375,110.0,0.3583061889250814,4253.857142857143,50.57142857142857
10,2020-03-23,43847,557,178,USA,10571.0,0.3176764034138719,140.0,0.33573141486810554,5602.142857142857,67.42857142857143
11,2020-03-24,53740,706,348,USA,9893.0,0.22562547038565922,149.0,0.26750448833034113,6759.857142857143,85.42857142857143
12,2020-03-25,65778,942,361,USA,12038.0,0.22400446594715295,236.0,0.3342776203966006,8285.0,117.71428571428571
13,2020-03-26,83836,1209,681,USA,18058.0,0.2745294779409529,267.0,0.28343949044585987,10012.714285714286,144.14285714285714
14,2020-03-27,101657,1581,869,USA,17821.0,0.21256977909251396,372.0,0.3076923076923077,11769.142857142857,191.0
15,2020-03-28,121465,2026,1072,USA,19808.0,0.19485131373146955,445.0,0.2814674256799494,13695.0,245.57142857142858
16,2020-03-29,140909,2467,2665,USA,19444.0,0.1600790351129955,441.0,0.21767028627838106,15376.142857142857,292.85714285714283
17,2020-03-30,161831,2978,5644,USA,20922.0,0.14847880547019707,511.0,0.20713417105796514,16854.85714285714,345.85714285714283
18,2020-03-31,188172,3873,7024,USA,26341.0,0.16276856720900199,895.0,0.3005372733378106,19204.571428571428,452.42857142857144
19,2020-04-01,213372,4757,8474,USA,25200.0,0.1339200306102927,884.0,0.22824683707720114,21084.85714285714,545.0
22,2020-04-02,243762,5926,9001,USA,30390.0,0.14242731005005344,1169.0,0.24574311540887114,22846.571428571428,673.8571428571429
23,2020-04-03,275586,7087,9707,USA,31824.0,0.13055357274718782,1161.0,0.19591630104623692,24847.0,786.5714285714286
24,2020-04-04,308853,8407,14652,USA,33267.0,0.12071367921447389,1320.0,0.18625652603358261,26769.714285714286,911.5714285714286
25,2020-04-05,337072,9619,17448,USA,28219.0,0.0913670904928882,1212.0,0.14416557630545973,28023.285714285714,1021.7142857142857
26,2020-04-06,366667,10783,19581,USA,29595.0,0.08780023259125647,1164.0,0.12101050005198045,29262.285714285714,1115.0
27,2020-04-07,396223,12722,21763,USA,29556.0,0.0806071994480005,1939.0,0.17982008717425577,29721.571428571428,1264.142857142857
